comments,results_True,results_chatgpt
"nah as an asian most of we still harbor hate since we have family that be casualty of the japanese brutality we have clan that literally slice off our family because of they my grandma say that her young sister baby literally get spear in the head and be parade in the street as the japanese wait for another baby to his pile  

 what s bad be that the japanese have yet to admit their wrongdoing and refuse to admit the brutality that occur 

 but that do nt mean be not gon na help they that do nt also mean that when we help they we forgive they",0.0,1
would you prefer another world war instead of reconciliation,0.0,1
"however israel military action include constant airstrike that have kill more than 10000 people in gaza include 4000 child have be criticize as excessive and cause another humanitarian crisis in the middle east 

 no person in their right mind would support the killing of kid publicly",1.0,-1
did nt this all start in october because palestinians go in and just behead baby and killedrape a bunch of woman,-1.0,-1
the ministry of health in gaza have be accurate with their number in the past match both un and israeli casualty number along with independent fact checker,0.0,0
idf have rape torture kill deport rob over a million people,1.0,0
have nt both side been do this for decade now I feel like ever since I become sentient enough to notice the news back in the early 90 its always be both side just be incredibly shitty,0.0,0
not in 1940s long long before extreme islamist like hamas want and always want to kill jews israel be surround by country where a majority of the people want to eliminate israel what do people expect israel should do,-1.0,0
pretty typical from people like you from japan since the country do nt teach much history like rape of nanking and unit 731 I would never expect someone like you to care for international affair anyways meh,0.0,0
the entire islamic world have do this for century and its even document in their holy book because their profit be the exact one who encourage they to do it,0.0,0
israel have more than a dozen time as many civilian death on their hand over the year that s not a both side issue,-1.0,-1
not japanese just live there what can you possibly gain by sit around worry and get pissy about thing that do nt affect you seem like a waste of time and whatever comment you leave here about palestine or israel will not help in any meaningful way meh,0.0,0
you mean israel have inflict more than a dozen time as many civilian death,1.0,-1
I be german and I think it would be totally fine give they a part of germany or austria but   no jew would like to build a state there understandable palestine never ever own the land which israel take from they both have right to the land from 1000s of year ago I just say palestine get a fair chance to build its own state beside israel they would have to make compromise of course but would have their own state for the first time in history the blow it and now blame israel for it we both do nt know if it would have work but it be a chance but they choose to attack israel and be surprised when they get kick their arsis by the young state did nt expect that they think they could kill the jews and take the whole territory,-1.0,0
south koreans know all too well what its like live next to a crazy neighbor that want to kill you that s why they stand by israel,-1.0,1
