comments,manual_labels,gpt_labels
"the reason I m not ok with this be the fact the only way forward for a two state solution seem to be an international intern government in gaza  

 when israel be do with hamas someone will have to govern gaza and an international coalition seem like a far more legitimate outcome than a government instal by israel  

 I think canada could play a role in support that government although I think you d also need support from the surround arab country and gaza resident to really make it work",1,0
neutral however would mean stop financial support to israel that be be use to fund the war   humanitarian aid for civilian be neutral in term of take side in a conflict   arm dealing be not   and we export million in weapon every year to israel   that would have to stop   how likely be that do you think,1,0
think canada have weight on the international scene be the equivalent of the but what do ja rule think meme,0,0
palestinians want and need everyone support and attention they certainly have my favor its hamas that s the problem,1,1
"there be a position we can and should take the position be to condemn any loss of civilian life and to support a peaceful transition to a 2 state solution as soon as possible 

  
 what we should not be do be provide israel weapon nor any support naturally we should nt support hama but I do nt think that be ever happen or go to happen anyway lmao 



 however we should nt be silent as a possible genocideethnic cleansing take place we should nt have be during the holocaust during rwanda nor now",1,0
"to be fair though I m not really sure if either the israelis or the palestinians want our input 

 canada have send about 21 million worth of arm to israel last year and I m sure israel would nt want that to drop off",0,1
the amount of israeli propaganda and a concert effort to call everything antisemitic suggest otherwise,1,-1
you be drop as a child,0,0
I say this as a proud canadian who the fuck be we to they I do nt understand why they would care at all about our opinionstance,0,1
"  I m ok with this 

 I be too   this be nt my battle and I think they be all asshole",0,1
we need gay panda union now,0,1
true the only thing that could actually stop this war be sign letter from hollywood celebrity,0,0
be neutral mean we stop sell weapon to israel immediately and do nothing outside of call for peace and sanity,0,-1
it have nothing to do with we be we go to have an opinion over every single small conflict that erupt in the middle east,0,-1
hypothetically if hamas be about to overrun israel and create a 2nd holocaust do you think canada should do something then,-1,1
the arab neighbour have unfortunately make it clear that they wo nt take in the palestinians they use they as political pawn,1,-1
"good luck with that surround arab nation hate the palestinians 

 an iran want israel dead",0,-1
how be iran a relevant party to this they be nt even arab they just need to stop meddle in arab affair,0,1
why do any solution need to involve egypt and iran,0,0
no it have nt we have only say israel have a right to defend itself and have a right to exist without say the exact same thing for palestinians why do only one side get to exist that s implicitly say its cool to murder the other side and they should take it,1,0
but not the canadian   protest on our street,0,-1
"why hamas be a terrorist group intent on eradicate the   jewish people full stop 
 this be not about a land grab as so many people fail to understand there have nt be a jew in gaza since 2005 the daily barrage of rocket start in 2006 coincidentally the year hamas come to power",-1,1
"it could be well we need to outlaw sell arm to israel and to make donation to israeli organisation nontaxdeductible then we could truly say that canada be neutral 

 which would be a terrible thing mind you but at least lawnmower dad would be happy",1,-1
how much military fund get send to israel again,1,-1
"there just be nt very many rohingya uyghur etc refugee in canada not nearly as many as refugee from recent war in the middle east those diaspora just be nt here to push their foreign agenda 

 intervention from the west under pretext of stop war crime or atrocity commit on the other side of the world be never truly motivate by those thing the protest we see today demand whatever it be they be suppose to be demand be no exception",0,0
"so how about that isreal palestine conflict 

 omg what s that over there 

",0,0
you want to tell that to all free palestine protestor out on our street,0,1
I m not sure how give people aid help but its well than getting involve in the middle east,0,0
"but they be 

",0,-1
I think that it be absolutely a good thing that both canada and japan do not participate in this joint statement,0,1
most delusional comment of the day,0,-1
a legal framework they have be find to violate repeatedly,0,0
you be joke right israel be the one with all the power all the military all the money they be literally the only country prevent peace and systematically oppressing and ethnically cleanse the land for decade but they be the neutral option lmao,1,-1
why would the world opinion of some random despotic country in africa or the middle east matter to canada canada be align to its close ally most importantly the us and that s all that matter,0,0
lot of people be mad about weapon sale to saudi,0,0
ban all religion that do nt support interfaith marriage,0,1
you must live in a different canada from the rest of we because that be a big deal and lead to a lot of protest,0,0
the majority of canadians have tolerate the intolerant now the rest of we have to pay the price for it karl popper idea be play out in real life,0,0
"I have a joke for you 

",0,0
correct free palestine,1,0
my bubble be 2040 and not a single person support what israel be do I m sure you ll just claim they be all antisemitic though,1,1
49 of canadian be muslim 41 of canadian be useful idiot like the queer for palestine crowd,-1,0
canada be an example of the paradox of intolerance people have tolerate foreign extremist and now its time to pay the price,0,1
this be a very warped vision of reality develop by base your opinion on biased conservative medium,0,1
do nt worry   the same drivel come out of trudeaus mouth will be come out of poopivere mouth if he win,0,1
yes,0,0
the us say clap and we slap our palm together what do you expect,0,0
un be a farce,0,1
its kind of hard to care about other culture or governmen problem when your own be so glaring and omnipresent,0,0
be we indiscriminately bomb child,0,0
if they have a large population of indigenous canadian immigrant they probably would ukrainian protest here khalistan activist protest here and basically every significant population of immigrant,0,1
